,results,home,score,match review
0,0,1,2-3,開始直後にさい先良く先制したG大阪だったが、その後は横浜FMの前線3人を捕まえ切れず、速いパス回しに翻弄されてペースを握られる。ボランチ2人も守備に追われたことで攻撃のスイッチを入れられず、前半だけで3失点。後半に入ってからは相手の背後を突こうとするプレーが増えたものの、ハイラインを攻略できずにオフサイドを取られる場面も。終盤には相手にも疲労の色が見え始めてチャンスシーンが増加するが、1点を返すにとどまった。一方の横浜FMは狙い通りの攻撃を披露し、アウェイでの開幕戦を見事に勝利で飾った。
1,1,0,2-4,前半の清水はボールこそ持たれたものの、要所では人数を掛けた守備で相手を自由にさせず、2トップの北川と中村が絡んだカウンターアタックで見せ場を作った。しかし、後半に入ると、相手に押し戻された状態からのビルドアップを狙われ、ボールロストが目立ち始める。逆転を許した後は完全にペースを握られてしまい、守備陣は落ち着きを取り戻せないまま「サンドバッグ状態」に。うまくゲームをコントロールできずに4失点で大敗を喫した。一方のG大阪は相手の出方に合わせて速攻と遅攻を使い分け、今季初白星を飾った。
2,0,0,1-0,Nah
3,0,1,2-3,G大阪は派手な打ち合いとなった一戦を落とした。開始直後の失点で幕を開け、タレントをそろえる名古屋に対して我慢を強いられ、守りに追われる時間を作られる。それでも、ボールを持てば抜け出しや仕掛けなどで敵陣を脅かして右サイドから好機を演出し、前半36分には小野瀬のクロスから同点に。直後に勝ち越しゴールを奪われて後半に入るも、アデミウソンのPK弾でゲームを振り出しに戻す。だが、終盤に再びリードを許して終戦。シュートの精度など攻撃面では目を見張るものはあるが、守備面の課題は解決できずに敗戦を喫した。
4,1,1,2-1,Nah
5,1,0,0-1,リーグ戦未勝利と調子の上がらない川崎F。思わぬ苦戦を強いられる中、今節はG大阪を等々力に迎えた。序盤から主導権を握りつつ、素早い攻守の切り替えで相手に攻撃の隙を与えない。中でも特出した存在だったのは、ボランチとして先発した田中。優れた危機察知能力やボール奪取で幾度もカウンターの芽を摘むなどして、才能の片りんをのぞかせた。ただ、中央を固めるG大阪を最後まで攻略できず、終盤に一瞬の隙を突かれて先制を許してしまう。これが決勝点となり、またしても初勝利は挙げられなかった。
6,0,1,3-4,37076人とパナスタ史上最多入場者数を記録した「関西ダービー」に敗れ、G大阪はまたもホームで白星を挙げられなかった。早い段階で2点をリードするも、「VIPトリオ」の連係からあっさりと同点に追い付かれる。ゲーム終盤には疲れから足が止まりだしたところを「伏兵」田中に突かれて万事休す。「チームの心臓」である遠藤が要所でらしいプレーを見せるなど、攻撃は厚みがあっただけに守備の再編が急務となる。一方の神戸は、劣勢から劇的な勝利。カウンター攻撃への対応は課題だが、圧倒的な攻撃力を見せつけた。
7,0,0,3-0,ホームの広島が完璧な試合運びで、危なげなく勝点3を奪った。90分間を通して前線から積極的にプレスを掛け、G大阪の分厚い中盤に自由を与えない。ボールを奪った際には、2シャドーの連係を生かしたカウンター攻撃を徹底。このやり方が見事にはまり、着実に得点を重ねる。リードを奪うと、チーム全体でタイトな守備ブロックを築き上げ、強力なアウェイチームの攻撃陣を封殺。今季5回目のクリーンシートを達成し、攻守で充実したパフォーマンスをサポーターに披露した。
8,2,0,1-1,Nah
9,0,1,0-1,本拠地初勝利はいつになるのか。G大阪はまたしてもパナスタで勝点を取れず、ホーム開幕4連敗となった。オジェソクと今野を先発に戻し、守備面で修正を図ったこの一戦。これが功を奏し、相手に流れの中で決定機を与えずに前半を無失点で終える。しかし、前半終了間際に藤春が負傷で交代した影響か、後半からサイド攻撃が停滞。アデミウソンの個人技などでゴールに迫るも、組織として攻撃の形を作れなかった。課題の守備ではセットプレーからの1失点のみに抑えたが、今度は2試合連続での無得点。チームの全体的な見直しが求められる。
10,2,1,1-1,「G大阪のレジェンド」が偉業を成し遂げ、チームの連敗を止めた。遠藤は前半から効果的なパスを供給。攻撃のテンポを作り、1点ビハインドの後半からは積極的に前線に顔を出すように。チームの猛攻の起点となると、後半26分には自身にチャンスが訪れる。こぼれ球がペナルティエリア手前にいた遠藤の下へ向かうと、これに反応。右足でミドルシュートを放ち、同点弾を挙げる。このゴールで遠藤はプロ1年目から22年連続ゴール。自身が持っているJリーグ記録を更新し、チームの連敗を3で止める活躍を見せた。
11,1,1,4-1,Nah
12,0,0,2-1,「平成最後のリーグ戦」は初物づくしとなった。仙台は序盤から積極的に敵陣内に攻め込み、何度も相手ゴールに迫る。すると、その積極性が実を結ぶことに。前半46分に永戸がミドルシュートを放つと、相手に当たって角度が変わり、ネットを揺らす。永戸はプロ「初」得点となった。後半に入っても攻めの姿勢を貫き続けると、終了間際に長沢が決勝点を挙げて勝負あり。長沢の加入後「初」ゴールが今季2勝目をもたらした。一方のG大阪は、金英權がJリーグ「初」ゴールを決めるも、逆転負け。5試合勝利なしと厳しい状況となった。
13,2,1,0-0,両チームの白熱した戦いはスコアレスドローに決着した。G大阪はボールを持つと、遠藤を中心に短いパスをつないでブロックを崩そうとする。しかし、相手の集中した守備に手を焼き、決定的なチャンスまでは至れず。守備では古巣対戦となった金英權が中心となって相手のカウンター攻撃を防ぎ、シュートに持ち込まれても体を張ったブロックで得点を与えなかった。一方のFC東京は、ボールを持たれる展開が続いて12本のシュートを浴びる厳しいゲームとなるも、林の好セーブもあって完封。開幕からの無敗を継続した。
14,1,1,3-1,Nah
15,0,0,3-1,金明輝体制で生まれ変わった鳥栖は、立ち上がりから積極性を前面に押し出す。豊田と金崎はシュートへの意識を高く持ち、Iクエンカは左サイドで高い位置を取る。すると、セットプレーからIクエンカが個人として、またチームとしての今季2得点目を挙げて先制。後半は運動量の落ちたG大阪を尻目に攻め続け、後半27分と同45分に追加点を奪う。競り合いでもひるまずに戦ったチームは、ついに長いトンネルの出口にたどり着いた。対してG大阪は食野亮のJ1リーグ戦初得点で一矢報いたものの、リーグ戦7試合勝利なしとなった。
16,1,1,1-0,「俺たちが大阪さ」。G大阪サポーターの大声援がパナスタに響き渡った。G大阪はリーグ戦2ヵ月勝ちなしと危機的状況で「大阪ダービー」を迎える。宮本監督は絶対に負けられない一戦に高尾や福田、高江と出場機会の少ない若手選手を抜てきした。彼らは序盤こそミスが目立ったものの、積極的にプレーに関与。すると、後半10分に高尾と高江のプレーから倉田のゴールが生まれる。1点リードで終盤を迎えると、遠藤と今野のベテラン勢がゲームを締めて試合終了。若手からベテランまでがそれぞれの持ち味を出して得た会心の勝利となった。
